"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript JSX", "XML", "TypeScript", "Markdown", "CSS", "comment", "blank", "total"
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/cd.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/cf.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/cg.svg", "XML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/ch.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/ci.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/ck.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/cl.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/cm.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/cn.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/co.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/cr.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/cu.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/cv.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/cw.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/cx.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/cy.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/cz.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/de.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/dj.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/dk.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/dm.svg", "XML", 0, 0, 0, 0, 152, 0, 0, 0, 0, 1, 153
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/do.svg", "XML", 0, 0, 0, 0, 129, 0, 0, 0, 0, 1, 130
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/dz.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/ec.svg", "XML", 0, 0, 0, 0, 138, 0, 0, 0, 0, 1, 139
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/ee.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/eg.svg", "XML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 39
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/eh.svg", "XML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/er.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/es.svg", "XML", 0, 0, 0, 0, 544, 0, 0, 0, 0, 1, 545
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/et.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/eu.svg", "XML", 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 29
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/fi.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/fj.svg", "XML", 0, 0, 0, 0, 120, 0, 0, 0, 0, 1, 121
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/fk.svg", "XML", 0, 0, 0, 0, 90, 0, 0, 0, 0, 1, 91
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/fm.svg", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/fo.svg", "XML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/fr.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/ga.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/gb.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/gd.svg", "XML", 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 28
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/ge.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/gg.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/gh.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/gi.svg", "XML", 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 33
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/gl.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/fgrimm/Desktop/CODE/sb-silverweb-beta/public/flags/gm.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
